City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bethel,90,US,1551567360,100,60.79,-161.76,33.8,8.05
Bubaque,0,GW,1551568988,94,11.28,-15.83,77.39,3.04
San Ramon,75,NI,1551569218,83,12.92,-85.84,71.6,6.93
Kapaa,40,US,1551568995,57,22.08,-159.32,78.8,13.87
Ahipara,0,NZ,1551569226,62,-35.17,173.16,74.19,5.39
Suntar,36,RU,1551569226,73,62.16,117.65,7.91,2.59
Georgetown,75,GY,1551567600,88,6.8,-58.16,80.6,4.7
Rio Grande da Serra,90,BR,1551567600,94,-23.74,-46.4,77.0,6.93
Panaba,0,MX,1551569227,49,21.28,-88.27,84.05,8.75
Cherskiy,56,RU,1551569228,82,68.75,161.3,-5.19,9.19
Ellenabad,64,IN,1551569228,93,29.45,74.66,55.79,11.99
Cape Town,20,ZA,1551568951,93,-33.93,18.42,69.01,8.05
Manoharpur,0,IN,1551569229,85,22.35,85.21,56.24,2.15
Abalak,8,NE,1551569230,46,15.46,6.28,57.18,5.28
Fortuna,0,ES,1551569009,87,38.18,-1.13,55.99,5.82
Maningrida,48,AU,1551569191,88,-12.05,134.23,81.93,8.19
Caucasia,36,CO,1551569231,62,7.98,-75.2,85.13,1.81
New Norfolk,75,AU,1551569174,82,-42.78,147.06,66.99,4.7
Punta Arenas,75,CL,1551568516,76,-53.16,-70.91,53.6,10.29
Kandrian,48,PG,1551569232,87,-6.21,149.55,81.98,3.27
Isangel,36,VU,1551568967,94,-19.55,169.27,83.28,12.77
Saint-Philippe,90,CA,1551569168,63,45.36,-73.48,28.0,4.7
Allende,90,MX,1551566400,94,28.34,-100.85,68.0,10.2
Chokurdakh,64,RU,1551569233,75,70.62,147.9,-11.72,16.24
Deputatskiy,12,RU,1551569234,35,69.3,139.9,-24.95,2.82
Lagoa,0,PT,1551569231,87,37.14,-8.45,55.99,3.36
Pitimbu,20,BR,1551567600,88,-7.47,-34.81,78.8,4.7
Aksarka,0,RU,1551568996,64,66.56,67.8,-14.42,5.73
Cidreira,36,BR,1551569235,53,-30.17,-50.22,77.48,10.31
Paamiut,0,GL,1551569235,93,61.99,-49.67,28.61,5.95
Ancud,20,CL,1551567600,72,-41.87,-73.83,59.0,4.7
Abu Dhabi,40,AE,1551564000,59,24.47,54.37,62.6,8.05
El Retorno,56,CO,1551569236,78,2.33,-72.63,78.47,2.37
Zalari,48,RU,1551569237,76,53.57,102.52,15.2,3.15
Narsaq,56,GL,1551567000,37,60.91,-46.05,33.8,5.82
Arlit,0,NE,1551569237,33,18.74,7.39,56.78,7.52
Mandal,8,MN,1551569238,55,48.82,106.5,-0.02,4.16
Albany,90,US,1551569162,55,42.65,-73.75,36.0,2.37
Gisors,90,FR,1551569233,76,49.28,1.78,51.8,12.75
Aykhal,64,RU,1551569239,69,65.95,111.51,-2.9,2.71
Port Blair,8,IN,1551569239,100,11.67,92.75,80.9,13.22
Ranfurly,24,CA,1551569240,61,53.41,-111.68,-8.48,11.99
La Ronge,75,CA,1551567600,63,55.1,-105.3,-5.81,17.22
Sendafa,8,ET,1551569241,74,9.16,39.02,46.25,3.38
Ganzhou,92,CN,1551569241,99,25.86,114.93,49.49,3.6
Airai,12,TL,1551569242,84,-8.93,125.41,76.04,1.92
Mehamn,75,NO,1551567000,68,71.03,27.85,26.6,24.16
Mahebourg,75,MU,1551569047,83,-20.41,57.7,80.01,6.93
Dongfeng,0,CN,1551569243,65,42.67,125.53,33.24,3.71
Saint-Andre-les-Vergers,0,FR,1551568637,81,48.29,4.05,46.4,2.24
Srednekolymsk,56,RU,1551569243,60,67.46,153.71,-7.31,4.27
Ola,0,RU,1551569244,100,59.58,151.3,2.15,7.4
Delano,90,US,1551569165,72,35.77,-119.25,70.0,9.17
Nagapattinam,36,IN,1551569244,78,10.76,79.84,77.75,5.17
Salta,75,AR,1551567600,68,-24.79,-65.41,75.2,8.05
Los Llanos de Aridane,90,ES,1551568632,72,28.66,-17.92,62.6,11.41
Bogyiszlo,92,HU,1551569248,82,46.39,18.83,41.16,4.05
Tarpon Springs,90,US,1551569161,69,28.15,-82.76,79.0,5.82
Zeya,44,RU,1551569249,65,53.74,127.27,7.14,2.15
Thompson,90,CA,1551567600,63,55.74,-97.86,-7.61,8.05
Abastumani,88,GE,1551565800,100,41.75,42.83,37.4,3.36
Lompoc,90,US,1551568970,93,34.64,-120.46,61.0,10.29
Tual,44,ID,1551569250,100,-5.67,132.75,80.63,5.95
Stege,32,DK,1551569108,80,54.99,12.28,41.0,11.41
Tiksi,0,RU,1551569140,32,71.64,128.87,-22.43,4.05
Kargil,88,PK,1551569251,83,34.56,76.13,5.84,1.36
Iqaluit,20,CA,1551568492,69,63.75,-68.52,-13.01,17.22
Udarnyy,56,RU,1551569252,82,54.34,42.86,12.63,5.95
Shimoda,75,JP,1551569111,100,34.7,138.93,46.99,3.36
Marawi,80,PH,1551568535,89,8.0,124.29,75.0,4.0
Chapais,90,CA,1551567600,61,49.78,-74.86,15.8,4.7
Kolpashevo,0,RU,1551569256,77,58.31,82.9,4.58,5.06
Maceio,20,BR,1551567600,78,-9.67,-35.74,78.8,8.05
Tasiilaq,68,GL,1551567000,85,65.61,-37.64,14.0,3.49
Zhuhai,36,CN,1551564000,73,40.71,112.04,24.8,4.47
Nikolskoye,75,RU,1551569134,73,59.7,30.79,27.0,20.13
Walvis Bay,0,NA,1551567727,82,-22.95,14.51,66.99,6.93
Kawalu,80,ID,1551569259,97,-7.38,108.21,68.39,1.92
Warmbad,75,DE,1551569223,86,50.67,13.08,46.0,5.82
Mao,20,DO,1551569128,65,19.55,-71.08,81.0,11.41
Gravdal,92,NO,1551569223,93,59.79,5.78,45.0,17.22
Saskylakh,20,RU,1551569260,36,71.97,114.09,-24.72,2.93
Sault Sainte Marie,90,CA,1551568080,85,46.49,-84.36,21.2,13.87
Constitucion,5,MX,1551568817,6,23.99,-104.67,86.0,9.17
Opuwo,92,NA,1551569200,94,-18.06,13.84,62.49,2.48
Sohag,0,EG,1551564000,68,26.55,31.7,51.8,3.36
Harper,90,US,1551569131,93,30.3,-99.24,61.0,4.7
Faanui,44,PF,1551569133,100,-16.48,-151.75,82.88,5.95
Aquiraz,75,BR,1551568752,88,-3.9,-38.39,79.0,6.93
Praia da Vitoria,40,PT,1551568556,82,38.73,-27.07,60.01,28.77
Khatanga,48,RU,1551569263,46,71.98,102.47,-15.99,2.71
Riachao das Neves,80,BR,1551568983,81,-11.75,-44.91,74.33,2.93
Kamra,92,PK,1551568980,94,33.86,72.39,48.99,1.01
Ilulissat,75,GL,1551567000,85,69.22,-51.1,15.8,8.05
Hasaki,75,JP,1551565800,70,35.73,140.83,42.8,5.82
Niort,90,FR,1551568928,93,46.32,-0.46,53.6,10.29
Ponte de Sor,0,PT,1551569179,99,39.25,-8.01,55.99,3.6
Sitka,80,US,1551568560,74,37.17,-99.65,27.0,3.0
Jamestown,0,AU,1551569079,22,-33.21,138.6,90.66,9.98
Talaya,90,RU,1551569121,92,55.79,84.89,17.01,2.24
Somogyvar,76,HU,1551569265,94,46.58,17.66,42.29,2.37
Taoudenni,0,ML,1551569175,41,22.68,-3.98,47.19,3.15
Aleksandrovskiy Zavod,0,RU,1551569265,56,50.92,117.94,6.78,2.37
Kruisfontein,0,ZA,1551569265,89,-34.0,24.73,60.51,2.04
Sucua,75,EC,1551567600,82,-2.46,-78.17,68.0,5.82
Saint Joseph,90,US,1551569263,68,39.77,-94.85,28.0,14.99
Grindavik,0,IS,1551569055,100,63.84,-22.43,33.01,14.99
Tigil,8,RU,1551569266,71,57.8,158.67,-2.63,3.15
Brus Laguna,68,HN,1551569266,74,15.75,-84.48,77.48,3.83
Sisimiut,80,GL,1551569267,83,66.94,-53.67,6.38,1.92
Adrar,0,DZ,1551567600,21,27.87,-0.29,62.6,11.41
Amalapuram,76,IN,1551569267,88,16.58,82.0,75.81,4.16
Manggar,76,ID,1551569268,99,-2.88,108.27,78.29,2.93
Puerto Escondido,20,MX,1551566460,74,15.86,-97.07,82.4,11.41
Tessalit,0,ML,1551569268,35,20.2,1.01,48.99,3.83
Basoko,68,CD,1551569269,94,1.23,23.61,73.7,3.15
Srikakulam,0,IN,1551569269,100,18.29,83.89,76.49,2.82
Severodvinsk,20,RU,1551565800,85,64.56,39.82,10.4,11.18
Ghanzi,8,BW,1551569270,57,-21.7,21.65,68.48,3.15
Banda Aceh,64,ID,1551569102,96,5.56,95.32,74.28,1.59
Whitehaven,90,US,1551569133,75,35.03,-90.03,44.01,9.17
Taitung,75,TW,1551565800,64,22.76,121.15,68.0,3.36
Eresos,8,GR,1551569227,85,39.17,25.93,51.01,1.01
Suluq,68,LY,1551569271,75,31.67,20.25,56.24,16.13
Hun,88,BE,1551568978,87,50.34,4.87,50.0,14.99
Micheweni,92,TZ,1551569271,100,-4.97,39.83,82.88,6.62
Evanston,90,US,1551569266,63,42.04,-87.69,30.99,6.93
Chumikan,64,RU,1551569272,65,54.72,135.31,14.88,2.71
Saint George,75,GR,1551567000,62,39.45,22.34,55.4,4.7
Naze,75,NG,1551564000,88,5.43,7.07,80.6,3.04
Omsukchan,64,RU,1551569273,72,62.53,155.8,-12.66,3.6
Saint-Georges,80,CA,1551568539,75,46.12,-70.67,28.99,3.27
Bambanglipuro,80,ID,1551569273,97,-7.95,110.28,74.64,3.94
Beringovskiy,44,RU,1551569274,89,63.05,179.32,28.34,15.46
Port Hardy,20,CA,1551567600,60,50.7,-127.42,42.8,5.82
Ostrogozhsk,0,RU,1551569274,81,50.86,39.08,9.62,4.38
San Patricio,0,PY,1551569112,67,-26.98,-56.83,77.43,3.38
Neuquen,0,AR,1551564000,32,-38.95,-68.06,82.4,5.17
Mahibadhoo,36,MV,1551569275,100,3.78,72.97,82.16,12.88
Tahoua,8,NE,1551569275,33,14.89,5.26,61.82,10.98
Bloomsburg,90,US,1551569253,79,41.0,-76.45,37.99,4.7
Ayan,8,TR,1551569276,73,40.67,33.6,18.21,2.15
Bonavista,20,CA,1551568644,67,48.65,-53.11,23.0,5.99
Lukang,75,TW,1551569137,93,24.06,120.44,69.01,3.36
Hit,0,IQ,1551569277,86,33.64,42.83,42.33,3.27
Birao,0,CF,1551569277,41,10.3,22.78,66.68,4.5
Pimentel,64,BR,1551569277,100,-3.7,-45.5,74.46,3.04
Lere,0,TD,1551569277,64,9.66,14.23,74.69,3.38
Murree,92,PK,1551569270,94,33.91,73.39,48.99,1.01
Labytnangi,0,RU,1551569278,49,66.66,66.39,-17.03,4.72
Gua,24,PH,1551569278,97,11.21,122.05,77.88,12.88
Viedma,12,AR,1551569278,45,-40.81,-62.99,68.03,7.4
Broadford,75,IE,1551567600,65,52.35,-8.97,46.4,20.8
Talnakh,76,RU,1551569276,85,69.49,88.39,16.1,16.24
Effingham,75,US,1551569004,64,39.12,-88.54,36.0,6.93
Tikrit,24,IQ,1551569280,88,34.62,43.68,35.63,5.84
Castro,20,CL,1551567600,72,-42.48,-73.76,59.0,4.7
Pokaran,0,IN,1551569280,91,26.93,71.92,57.68,9.64
La Asuncion,48,EC,1551569281,97,-1.64,-78.74,48.86,1.7
Soligalich,64,RU,1551569281,79,59.08,42.29,9.93,11.43
Mar del Plata,8,AR,1551569281,47,-46.43,-67.52,66.36,16.02
Umea,0,SE,1551567000,72,63.83,20.26,14.0,8.05
Atar,0,MR,1551569282,20,20.52,-13.05,59.84,9.19
Port-Gentil,20,GA,1551567600,88,-0.72,8.78,80.6,3.36
Cody,75,US,1551569168,70,44.53,-109.06,1.99,12.75
Kamenka,56,RU,1551569283,85,53.19,44.05,11.73,8.75
Fort Nelson,5,CA,1551567600,38,58.81,-122.69,6.8,3.15
Vardo,90,US,1551569276,70,39.62,-77.74,44.6,4.7
Aleksandrovskoye,90,RU,1551569121,92,56.74,85.39,17.01,2.24
Sapouy,76,BF,1551569284,36,11.55,-1.77,71.31,3.15
Zhangye,0,CN,1551569285,51,38.94,100.46,15.69,5.95
Castellamonte,0,IT,1551569116,60,45.38,7.71,48.99,3.36
Hella,0,IS,1551568533,89,63.84,-20.4,27.0,7.07
Kotma,20,IN,1551569285,80,23.2,81.98,53.45,3.27
Westport,36,IE,1551568925,57,53.8,-9.52,48.99,21.0
Guarapari,40,BR,1551567600,83,-20.67,-40.5,82.4,10.29
Bredasdorp,56,ZA,1551568629,88,-34.53,20.04,66.0,3.36
Wainwright,20,CA,1551569106,65,52.84,-110.86,-9.74,11.77
Kirakira,20,SB,1551568992,100,-10.46,161.92,82.7,8.41
Abnub,0,EG,1551564000,66,27.27,31.15,53.6,5.82
Storforshei,0,NO,1551569287,53,66.4,14.52,-6.54,1.7
Bichura,8,RU,1551569287,60,50.59,107.6,5.34,2.37
Townsville,90,AU,1551568574,61,-19.26,146.82,80.6,10.29
Saint-Ambroise,90,FR,1551569225,81,47.25,-0.65,53.6,12.75
Tuatapere,0,NZ,1551568805,72,-46.13,167.69,63.0,8.01
Honningsvag,44,NO,1551569098,100,70.98,25.97,22.67,13.44
Half Moon Bay,90,US,1551569092,100,37.46,-122.43,61.0,9.17
Sarangani,64,PH,1551569290,99,5.4,125.46,79.64,8.75
Klaksvik,92,FO,1551568800,86,62.23,-6.59,41.0,19.46
Celestun,20,MX,1551569291,89,20.87,-90.4,80.72,15.9
Tynda,8,RU,1551569291,65,55.15,124.74,4.4,2.37
Comodoro Rivadavia,0,AR,1551564000,35,-45.87,-67.48,69.8,9.17
Avera,40,US,1551569259,72,33.19,-82.53,71.6,4.7
Iskateley,68,RU,1551569295,82,67.68,53.15,9.53,13.22
Tygda,20,RU,1551569295,72,53.11,126.33,9.93,2.59
Hobyo,0,SO,1551569295,91,5.35,48.53,73.79,7.4
Tuktoyaktuk,20,CA,1551567600,64,69.44,-133.03,-0.41,16.11
Demba,36,CD,1551569296,93,-5.47,22.27,73.11,1.92
Muros,90,ES,1551569253,81,42.77,-9.06,57.99,8.05
Trinidad,0,UY,1551569095,85,-33.52,-56.9,61.14,6.4
Mendi,76,ET,1551569297,45,9.8,35.1,59.66,3.38
Cayenne,92,GF,1551567600,94,4.94,-52.33,75.2,8.41
Avarua,8,CK,1551565800,74,-21.21,-159.78,86.0,10.29
Chifeng,12,CN,1551569245,56,42.27,118.96,31.53,4.72
Kutum,0,SD,1551569298,33,14.2,24.66,56.69,6.06
Galesong,20,ID,1551567600,100,-5.32,119.37,73.4,0.81
Sur,0,OM,1551569299,100,22.57,59.53,67.13,17.81
Faya,0,SA,1551564000,71,18.39,42.45,57.2,6.93
Tilichiki,68,RU,1551569300,79,60.47,166.1,-1.73,5.39
Durban,0,FR,1551569059,86,43.54,0.58,48.0,4.7
San Quintin,36,PH,1551569301,72,17.54,120.52,73.61,3.6
Seoul,1,KR,1551567360,74,37.57,126.98,37.4,2.24
Khani,92,GE,1551565800,100,41.96,42.96,37.4,3.36
Inverell,0,AU,1551569278,49,-29.78,151.11,78.01,5.99
Sayat,0,TM,1551567600,87,38.78,63.88,42.8,4.7
Ilam,0,IR,1551564000,80,33.64,46.42,33.8,2.24
Oksfjord,24,NO,1551568810,92,70.24,22.35,23.0,26.4
Hudson Bay,44,CA,1551569119,51,52.86,-102.4,-4.43,7.18
Flin Flon,75,CA,1551567600,48,54.77,-101.88,-7.61,13.87
Americus,1,US,1551569294,73,32.07,-84.23,73.4,3.36
Quatre Cocos,75,MU,1551569047,83,-20.21,57.76,80.01,6.93
Dunedin,0,NZ,1551568953,50,-45.87,170.5,69.01,8.01
Mantua,0,IT,1551569259,75,45.16,10.79,50.0,5.82
Kendari,80,ID,1551569304,100,-3.99,122.52,75.32,2.37
Nome,90,US,1551569116,77,30.04,-94.42,73.0,5.82
Kasongo-Lunda,64,CD,1551569304,94,-6.48,16.82,70.28,2.26
Tianpeng,0,CN,1551569305,100,28.88,112.34,41.3,5.17
Zyryanka,20,RU,1551569014,64,65.73,150.89,-8.61,2.59
Matamoros,1,US,1551569134,65,25.87,-97.51,84.2,14.99
Verkhnetulomskiy,0,RU,1551565800,75,68.61,31.8,-14.81,2.24
Ponta do Sol,80,BR,1551569305,96,-20.63,-46.0,66.32,3.71
Ta Khmau,20,KH,1551565800,83,11.48,104.95,75.2,5.82
Oriximina,24,BR,1551569292,80,-1.77,-55.87,80.49,3.71
Urengoy,80,RU,1551569117,91,65.96,78.37,21.99,14.56
Camacupa,8,AO,1551569307,91,-12.02,17.48,62.18,3.6
Jinji,92,CN,1551569146,76,22.16,112.49,75.0,5.17
Krasnyy Kommunar,90,RU,1551565800,92,51.96,55.37,28.4,6.71
Omboue,24,GA,1551569307,100,-1.57,9.26,80.76,2.15
Novyy Urengoy,0,RU,1551569308,94,66.08,76.63,11.42,13.56
Arivonimamo,75,MG,1551567600,88,-19.01,47.18,66.2,10.29
Saint Anthony,1,US,1551569147,68,43.97,-111.68,33.01,5.82
Tadine,100,NC,1551569308,100,-21.55,167.88,78.33,28.99
Emerald,0,AU,1551568902,57,-23.53,148.16,79.0,13.87
Torbay,20,CA,1551569302,57,47.66,-52.73,26.01,17.22
Abbeville,90,FR,1551569194,76,50.11,1.83,51.8,16.11
Huarmey,20,PE,1551569146,68,-10.07,-78.15,73.11,3.71
Beroroha,48,MG,1551569310,77,-21.68,45.17,76.13,3.38
Tura,0,IN,1551569310,76,25.52,90.21,49.71,2.59
Bentonville,90,US,1551569181,80,36.37,-94.21,37.99,6.93
Nueva Loja,40,EC,1551567600,69,0.08,-76.88,86.0,3.36
Macapa,75,BR,1551564000,100,0.05,-51.07,77.0,6.93
Nipawin,40,CA,1551567600,58,53.36,-104.02,-4.01,18.34
Awbari,0,LY,1551569312,70,26.59,12.77,46.83,3.15
Port Elizabeth,90,US,1551569309,93,39.31,-74.98,39.99,8.05
Mezen,12,RU,1551569313,70,65.85,44.24,-2.31,3.83
Luderitz,0,NA,1551569313,76,-26.65,15.16,63.89,20.38
Zhigansk,8,RU,1551569314,68,66.77,123.37,-15.36,3.04
Padang,40,ID,1551564000,94,-0.92,100.36,78.8,3.36
Nantucket,90,US,1551569259,100,41.28,-70.1,33.8,18.34
Port Lincoln,92,AU,1551569314,79,-34.72,135.86,71.36,16.02
Tezu,0,IN,1551569315,53,27.93,96.16,46.29,2.04
Chernyshevskiy,80,RU,1551569315,75,63.01,112.47,2.01,3.15
Yumen,0,CN,1551569315,42,40.29,97.04,16.1,2.04
Darnah,80,LY,1551569315,100,32.77,22.64,59.21,29.21
Santa Cruz Cabralia,20,BR,1551567600,74,-16.28,-39.02,82.4,11.41
Itacarambi,36,BR,1551569316,82,-15.1,-44.09,75.63,4.94
Billings,75,US,1551568910,70,45.79,-108.5,-1.0,8.05
Anqing,68,CN,1551569316,100,30.51,117.04,42.51,4.72
Maloy,24,ID,1551569317,73,1.0,118.1,79.68,2.93
Guerrero Negro,32,MX,1551569317,53,27.97,-114.04,68.79,11.65
Nara,90,JP,1551569197,96,34.68,135.8,48.99,6.93
Waingapu,8,ID,1551569318,93,-9.65,120.26,78.92,4.05
Puerto Vallarta,5,MX,1551569114,61,20.61,-105.23,80.6,11.41
Port Augusta,0,AU,1551568613,83,-32.49,137.76,91.0,11.41
Rio Gallegos,20,AR,1551564000,67,-51.62,-69.22,57.2,9.17
Boralday,75,KZ,1551565800,52,43.36,76.86,46.4,13.42
Chulym,68,RU,1551569319,84,55.09,80.97,19.43,10.2
Shakawe,0,BW,1551569319,54,-18.36,21.84,72.89,6.17
Poum,0,MK,1551569320,74,41.28,20.71,17.18,1.81
Jacobabad,92,PK,1551569320,93,28.29,68.44,53.9,2.48
Kaeo,0,NZ,1551568084,59,-35.1,173.78,75.0,3.0
Baykit,68,RU,1551569321,70,61.68,96.39,5.75,2.59
Savonlinna,90,FI,1551568804,85,61.87,28.88,21.0,12.75
Sembabule,36,UG,1551569321,87,-0.08,31.46,64.79,3.49
Cabra,0,ES,1551569298,81,37.47,-4.43,54.0,2.26
Matagami,0,NG,1551567600,35,9.67,8.4,71.6,4.7
Ust-Ilimsk,48,RU,1551569325,79,57.96,102.73,13.22,2.59
Barra do Corda,88,BR,1551569312,98,-5.5,-45.25,72.71,3.6
Sorland,0,NO,1551569325,100,67.67,12.69,31.85,14.45
Kokopo,0,PG,1551569326,97,-4.34,152.27,83.06,3.71
Mount Isa,0,AU,1551567600,39,-20.73,139.49,84.2,11.41
Pentecoste,92,BR,1551569291,90,-3.8,-39.27,79.0,14.0
Broome,92,GB,1551569283,81,52.47,1.45,54.0,21.92
Lazaro Cardenas,75,MX,1551566460,18,28.39,-105.62,82.4,8.05
Baherden,20,TM,1551569327,75,38.44,57.43,36.71,4.72
Puerto Madryn,88,AR,1551569327,69,-42.77,-65.04,67.71,19.82
Cheyenne,90,US,1551569037,77,41.14,-104.82,15.01,6.93
Jinxiang,92,CN,1551569327,77,35.07,116.31,43.01,2.82
Alugan,88,PH,1551569328,98,12.22,125.48,77.39,8.19
Zhigalovo,64,RU,1551569328,71,54.81,105.15,14.57,2.15
Ixtapa,5,MX,1551569114,61,20.71,-105.21,80.6,11.41
Roald,44,NO,1551569105,80,62.58,6.12,41.0,8.05
Clyde River,90,CA,1551568560,84,70.47,-68.59,3.2,23.04
Yulara,0,AU,1551564000,26,-25.24,130.99,78.8,4.7
Qasigiannguit,75,GL,1551567000,85,68.82,-51.19,15.8,8.05
Belyy Yar,75,RU,1551565800,92,53.6,91.39,24.8,2.24
Krasnovishersk,76,RU,1551569330,81,60.4,57.08,14.16,12.44
Portland,20,US,1551569307,42,45.52,-122.67,48.99,20.8
Goderich,32,CA,1551569321,89,43.74,-81.71,26.01,20.0
Champerico,40,MX,1551566520,38,16.38,-93.6,91.4,25.28
Hervey Bay,75,AU,1551568508,65,-25.3,152.85,78.8,13.87
Pahrump,1,US,1551569284,36,36.21,-115.98,66.0,23.04
Kunya,0,NG,1551564000,19,12.22,8.53,78.8,5.82
Sola,90,NO,1551568804,100,58.89,5.65,44.01,17.22
Muroto,75,JP,1551564000,87,33.37,134.14,48.2,5.82
Okhotsk,0,RU,1551569333,100,59.36,143.24,2.19,1.92
